Mahalle;Toplam;Erkek;Kadin
GÖZTEPE;4496;2363;2133
KOZYATAĞI;4470;2245;2225
ERENKÖY;4147;2126;2021
19 MAYIS;4037;2047;1990
SAHRAYICEDİT;3855;2004;1851
BOSTANCI;3734;1909;1825
MERDİVENKÖY;3579;1819;1760
ACIBADEM;3114;1618;1496
SUADİYE;2899;1447;1452
FENERYOLU;2755;1438;1317
FENERBAHÇE;2341;1209;1132
CADDEBOSTAN;2258;1180;1078
CAFERAĞA;1627;797;830
FİKİRTEPE;1448;702;746
HASANPAŞA;1287;646;641
EĞİTİM;1267;657;610
DUMLUPINAR;1077;573;504
ZÜHTÜPAŞA;826;426;400
KOŞUYOLU;768;377;391
RASİMPAŞA;658;352;306
OSMANAĞA;519;283;236
TOPLAM;51162;26218;24944
