Mahalle;Toplam;Erkek;Kadin
GÖZTEPE;9162;3433;5729
ERENKÖY;7732;2934;4798
KOZYATAĞI;7430;2847;4583
BOSTANCI;6801;2648;4153
19 MAYIS;6696;2647;4049
SUADİYE;6386;2452;3934
MERDİVENKÖY;6094;2373;3721
FENERYOLU;6081;2230;3851
SAHRAYICEDİT;5911;2408;3503
CADDEBOSTAN;5429;2115;3314
ACIBADEM;5416;2158;3258
FENERBAHÇE;5227;2015;3212
CAFERAĞA;4791;1742;3049
EĞİTİM;1868;738;1130
HASANPAŞA;1862;754;1108
ZÜHTÜPAŞA;1776;641;1135
RASİMPAŞA;1573;608;965
KOŞUYOLU;1269;547;722
OSMANAĞA;1180;483;697
DUMLUPINAR;944;399;545
FİKİRTEPE;819;355;464
TOPLAM;94447;36527;57920
